"","date","base_temp"
"1",1450,0
"2",1451,0
"3",1452,0
"4",1453,0
"5",1454,0
"6",1455,0
"7",1456,0
"8",1457,0
"9",1458,0
"10",1459,0
"11",1460,0
"12",1461,0
"13",1462,0
"14",1463,0
"15",1464,0
"16",1465,0
"17",1466,0
"18",1467,1
"19",1468,0
"20",1469,0
"21",1470,0
"22",1471,1
"23",1472,1
"24",1473,1
"25",1474,1
"26",1475,0
"27",1476,2
"28",1477,1
"29",1478,0
"30",1479,0
"31",1480,1
"32",1481,2
"33",1482,2
"34",1483,2
"35",1484,0
"36",1485,2
"37",1486,1
"38",1487,0
"39",1488,1
"40",1489,1
"41",1490,0
"42",1491,2
"43",1492,3
"44",1493,1
"45",1494,0
"46",1495,0
"47",1496,0
"48",1497,1
"49",1498,1
"50",1499,1
"51",1500,11
"52",1501,0
"53",1502,0
"54",1503,1
"55",1504,0
"56",1505,0
"57",1506,2
"58",1507,1
"59",1508,0
"60",1509,1
"61",1510,4
"62",1511,1
"63",1512,3
"64",1513,1
"65",1514,2
"66",1515,2
"67",1516,4
"68",1517,2
"69",1518,1
"70",1519,4
"71",1520,3
"72",1521,1
"73",1522,3
"74",1523,1
"75",1524,2
"76",1525,1
"77",1526,2
"78",1527,2
"79",1528,2
"80",1529,3
"81",1530,0
"82",1531,3
"83",1532,5
"84",1533,3
"85",1534,0
"86",1535,5
"87",1536,8
"88",1537,8
"89",1538,4
"90",1539,4
"91",1540,8
"92",1541,8
"93",1542,10
"94",1543,6
"95",1544,10
"96",1545,7
"97",1546,4
"98",1547,8
"99",1548,3
"100",1549,12
"101",1550,21
"102",1551,19
"103",1552,16
"104",1553,26
"105",1554,25
"106",1555,32
"107",1556,12
"108",1557,22
"109",1558,4
"110",1559,9
"111",1560,50
"112",1561,18
"113",1562,27
"114",1563,89
"115",1564,53
"116",1565,43
"117",1566,64
"118",1567,97
"119",1568,43
"120",1569,39
"121",1570,9
"122",1571,36
"123",1572,88
"124",1573,39
"125",1574,69
"126",1575,50
"127",1576,36
"128",1577,69
"129",1578,46
"130",1579,29
"131",1580,40
"132",1581,43
"133",1582,47
"134",1583,58
"135",1584,47
"136",1585,61
"137",1586,60
"138",1587,52
"139",1588,82
"140",1589,71
"141",1590,30
"142",1591,19
"143",1592,5
"144",1593,25
"145",1594,75
"146",1595,61
"147",1596,56
"148",1597,58
"149",1598,38
"150",1599,17
"151",1600,81
"152",1601,31
"153",1602,50
"154",1603,25
"155",1604,50
"156",1605,36
"157",1606,39
"158",1607,40
"159",1608,60
"160",1609,89
"161",1610,99
"162",1611,63
"163",1612,64
"164",1613,40
"165",1614,52
"166",1615,66
"167",1616,92
"168",1617,126
"169",1618,48
"170",1619,65
"171",1620,125
"172",1621,98
"173",1622,85
"174",1623,76
"175",1624,87
"176",1625,74
"177",1626,137
"178",1627,148
"179",1628,93
"180",1629,88
"181",1630,86
"182",1631,64
"183",1632,76
"184",1633,99
"185",1634,129
"186",1635,150
"187",1636,141
"188",1637,72
"189",1638,61
"190",1639,79
"191",1640,72
"192",1641,55
"193",1642,55
"194",1643,79
"195",1644,110
"196",1645,64
"197",1646,39
"198",1647,47
"199",1648,43
"200",1649,305
"201",1650,87
"202",1651,87
"203",1652,108
"204",1653,50
"205",1654,47
"206",1655,46
"207",1656,52
"208",1657,46
"209",1658,32
"210",1659,46
"211",1660,67
"212",1661,51
"213",1662,56
"214",1663,53
"215",1664,59
"216",1665,49
"217",1666,56
"218",1667,52
"219",1668,63
"220",1669,66
"221",1670,41
"222",1671,53
"223",1672,55
"224",1673,53
"225",1674,52
"226",1675,50
"227",1676,42
"228",1677,47
"229",1678,43
"230",1679,44
"231",1680,49
"232",1681,37
"233",1682,43
"234",1683,50
"235",1684,53
"236",1685,49
"237",1686,57
"238",1687,55
"239",1688,71
"240",1689,56
"241",1690,77
"242",1691,55
"243",1692,56
"244",1693,64
"245",1694,66
"246",1695,49
"247",1696,71
"248",1697,65
