url,titre
https://gallica.bnf.fr/html/und/presse-et-revues/ain,Ain 
https://gallica.bnf.fr/html/und/presse-et-revues/allier,Allier 
https://gallica.bnf.fr/html/und/presse-et-revues/ardeche,Ardèche
https://gallica.bnf.fr/html/und/presse-et-revues/cantal,Cantal
https://gallica.bnf.fr/html/und/presse-et-revues/drome,Drôme
https://gallica.bnf.fr/html/und/presse-et-revues/haute-loire,Haute-Loire
https://gallica.bnf.fr/html/und/presse-et-revues/isere,Isère
https://gallica.bnf.fr/html/und/presse-et-revues/loire,Loire
https://gallica.bnf.fr/html/und/presse-et-revues/puy-de-dome,Puy-de-Dôme
https://gallica.bnf.fr/html/und/presse-et-revues/rhone,Rhône
https://gallica.bnf.fr/html/und/presse-et-revues/savoie,Savoie
https://gallica.bnf.fr/html/und/presse-et-revues/cote-dor,Côte d'or
https://gallica.bnf.fr/html/und/presse-et-revues/doubs,Doubs
https://gallica.bnf.fr/html/und/presse-et-revues/haute-saone,Haute-Saône
https://gallica.bnf.fr/html/und/presse-et-revues/jura,Jura
https://gallica.bnf.fr/html/und/presse-et-revues/nievre,Nièvre
https://gallica.bnf.fr/html/und/presse-et-revues/saone-et-loire,Saône-et-Loire
https://gallica.bnf.fr/html/und/presse-et-revues/territoire-de-belfort,Territoire de Belfort
https://gallica.bnf.fr/html/und/presse-et-revues/yonne,Yonne
https://gallica.bnf.fr/html/und/presse-et-revues/cotes-darmor,Côtes d'Armor
https://gallica.bnf.fr/html/und/presse-et-revues/finistere,Finistère
https://gallica.bnf.fr/html/und/presse-et-revues/ille-et-vilaine,Ille-et-Vilaine
https://gallica.bnf.fr/html/und/presse-et-revues/morbihan,Morbihan
https://gallica.bnf.fr/html/und/presse-et-revues/cher,Cher
https://gallica.bnf.fr/html//und/presse-et-revues/eure-et-loir,Eure-et-Loir
https://gallica.bnf.fr/html/und/presse-et-revues/indre,Indre
https://gallica.bnf.fr/html/und/presse-et-revues/indre-et-loire,Indre-et-Loire
https://gallica.bnf.fr/html//und/presse-et-revues/loir-et-cher,Loir-et-Cher
https://gallica.bnf.fr/html/und/presse-et-revues/loiret,Loiret
https://gallica.bnf.fr/html/und/presse-et-revues/corse,Corse
https://gallica.bnf.fr/html/und/presse-et-revues/ardennes,Ardennes
https://gallica.bnf.fr/html/und/presse-et-revues/aube,Aube
https://gallica.bnf.fr/html/und/presse-et-revues/bas-rhin,Bas-Rhin
https://gallica.bnf.fr/html/und/presse-et-revues/haut-rhin,Haut-Rhin
https://gallica.bnf.fr/html/und/presse-et-revues/haute-marne,Haute-Marne
https://gallica.bnf.fr/html/und/presse-et-revues/marne,Marne
https://gallica.bnf.fr/html/und/presse-et-revues/meurthe-et-moselle,Meurthe-et-Moselle
https://gallica.bnf.fr/html/und/presse-et-revues/meuse,Meuse
https://gallica.bnf.fr/html/und/presse-et-revues/moselle,Moselle
https://gallica.bnf.fr/html/und/presse-et-revues/vosges,Vosges
https://gallica.bnf.fr/html/und/presse-et-revues/aisne,Aisne
https://gallica.bnf.fr/html/und/presse-et-revues/nord,Nord
https://gallica.bnf.fr/html/und/presse-et-revues/oise,Oise
https://gallica.bnf.fr/html/und/presse-et-revues/pas-de-calais,Pas-de-Calais
http://gallica.bnf.fr/html/und/france/presse-de-la-somme-0,Somme
https://gallica.bnf.fr/html/und/presse-et-revues/essonne,Essonne
https://gallica.bnf.fr/html/und/presse-et-revues/hauts-de-seine,Hauts-de-Seine
https://gallica.bnf.fr/html/und/presse-et-revues/paris,Paris
https://gallica.bnf.fr/html/und/presse-et-revues/seine-saint-denis,Seine-Saint-Denis
https://gallica.bnf.fr/html/und/presse-et-revues/seine-et-marne,Seine-et-Marne
https://gallica.bnf.fr/html/und/presse-et-revues/val-doise,Val-d'Oise
https://gallica.bnf.fr/html/und/presse-et-revues/val-de-marne,Val-de-Marne
https://gallica.bnf.fr/html/und/presse-et-revues/yvelines,Yvelines
https://gallica.bnf.fr/html/und/presse-et-revues/calvados,Calvados
https://gallica.bnf.fr/html/und/presse-et-revues/eure,Eure
https://gallica.bnf.fr/html/und/presse-et-revues/manche,Manche
https://gallica.bnf.fr/html/und/presse-et-revues/orne,Orne
https://gallica.bnf.fr/html/und/presse-et-revues/seine-maritime,Seine-maritime
https://gallica.bnf.fr/html/und/presse-et-revues/charente,Charente
https://gallica.bnf.fr/html/und/presse-et-revues/charente-maritime,Charente-maritime
https://gallica.bnf.fr/html/und/presse-et-revues/correze,Corrèze
https://gallica.bnf.fr/html/und/presse-et-revues/creuse,Creuse
https://gallica.bnf.fr/html/und/presse-et-revues/deux-sevres,Deux-Sèvres
https://gallica.bnf.fr/html/und/presse-et-revues/dordogne,Dordogne
https://gallica.bnf.fr/html/und/presse-et-revues/gironde,Gironde
https://gallica.bnf.fr/html/und/presse-et-revues/haute-vienne,Haute-Vienne
https://gallica.bnf.fr/html/und/presse-et-revues/landes,Landes
https://gallica.bnf.fr/html/und/presse-et-revues/lot-et-garonne,Lot-et-Garonne
https://gallica.bnf.fr/html/und/presse-et-revues/pyrenees-atlantique,Pyrenées-Atlantiques
https://gallica.bnf.fr/html/und/presse-et-revues/vienne,Vienne
https://gallica.bnf.fr/html/und/presse-et-revues/ariege,Ariège
https://gallica.bnf.fr/html/und/presse-et-revues/aude,Aude
